t;u;ref_dx;ref_psi;dx;theta;psi
0.7207;36;0.0000;0.0000;-0.1792;-0.0116;-0.0620
0.7237;42;0.0000;0.0000;-0.1270;0.0101;-0.0619
0.7269;62;0.0000;0.0000;-0.0448;0.0400;-0.0628
0.7321;22;0.0000;0.0000;0.1833;0.0467;-0.0618
0.7347;-20;0.0000;0.0000;0.2225;0.0319;-0.0621
0.7377;-34;0.0000;0.0000;0.2609;0.0098;-0.0626
0.7407;0;0.0000;0.0000;0.2052;0.0058;-0.0620
0.7437;-28;0.0000;0.0000;0.0278;-0.0091;-0.0611
0.7467;5;0.0000;0.0000;-0.0609;-0.0062;-0.0625
0.7497;-77;0.0000;0.0000;-0.1613;-0.0416;-0.0612
0.7527;23;0.0000;0.0000;-0.1555;-0.0279;-0.0642
0.7559;33;0.0000;0.0000;-0.1712;-0.0091;-0.0642
0.7600;78;0.0000;0.0000;-0.1043;0.0299;-0.0678
0.7627;34;0.0000;0.0000;0.0226;0.0450;-0.0677
0.7657;14;0.0000;0.0000;0.1048;0.0488;-0.0682
0.7687;-27;0.0000;0.0000;0.2207;0.0307;-0.0687
0.7717;-34;0.0000;0.0000;0.2600;0.0087;-0.0694
0.7747;-10;0.0000;0.0000;0.1674;0.0002;-0.0678
0.7777;-33;0.0000;0.0000;0.0276;-0.0170;-0.0676
0.7807;30;0.0000;0.0000;-0.0984;-0.0013;-0.0680
0.7837;-77;0.0000;0.0000;-0.2175;-0.0357;-0.0661
0.7869;40;0.0000;0.0000;-0.2023;-0.0132;-0.0695
0.7921;49;0.0000;0.0000;-0.1572;0.0128;-0.0717
0.7947;34;0.0000;0.0000;-0.0786;0.0298;-0.0699
0.7977;23;0.0000;0.0000;-0.0019;0.0400;-0.0701
0.8007;-36;0.0000;0.0000;0.1112;0.0193;-0.0689
0.8037;11;0.0000;0.0000;0.2052;0.0209;-0.0670
0.8067;-6;0.0000;0.0000;0.1774;0.0140;-0.0674
0.8097;-19;0.0000;0.0000;0.1074;0.0020;-0.0659
0.8127;-39;0.0000;0.0000;0.0537;-0.0187;-0.0658
0.8159;43;0.0000;0.0000;-0.0666;0.0028;-0.0658
0.8201;-34;0.0000;0.0000;-0.2203;-0.0111;-0.0651
0.8228;31;0.0000;0.0000;-0.2224;0.0071;-0.0658
0.8257;41;0.0000;0.0000;-0.1486;0.0285;-0.0643
0.8287;46;0.0000;0.0000;-0.0930;0.0509;-0.0639
0.8317;29;0.0000;0.0000;0.0096;0.0633;-0.0626
0.8347;-26;0.0000;0.0000;0.1170;0.0468;-0.0610
0.8377;-4;0.0000;0.0000;0.2268;0.0396;-0.0596
0.8407;-9;0.0000;0.0000;0.1882;0.0308;-0.0592
0.8439;-13;0.0000;0.0000;0.0754;0.0218;-0.0581
0.8482;-46;0.0000;0.0000;-0.0745;-0.0006;-0.0587
0.8508;-105;0.0000;0.0000;-0.1681;-0.0495;-0.0581
0.8537;12;0.0000;0.0000;-0.2524;-0.0392;-0.0583
0.8567;38;0.0000;0.0000;-0.2758;-0.0164;-0.0572
0.8597;87;0.0000;0.0000;-0.2314;0.0288;-0.0567
0.8627;19;0.0000;0.0000;-0.1157;0.0386;-0.0571
0.8657;29;0.0000;0.0000;0.0170;0.0511;-0.0556
0.8687;-19;0.0000;0.0000;0.1207;0.0385;-0.0549
